word1,word2,count
"InteractingBinaries","InteractingBinaries",0
"InteractingBinaries","Galactic",8
"InteractingBinaries","Supernovae",6
"InteractingBinaries","Cosmological",0
"InteractingBinaries","MultiwavelengthCharacterization/Counterparts",8
"InteractingBinaries","TidalDisruptionEvents",1
"InteractingBinaries","Non-degenerateEruptiveVariables",4
"InteractingBinaries","FastTransients",10
"InteractingBinaries","Microlensing",0
"InteractingBinaries","GravitationalWaves",2
"InteractingBinaries","Classification/Characterization",7
"InteractingBinaries","MagneticallyActiveStars",2
"InteractingBinaries","DistanceScales",1
"InteractingBinaries","PulsatingVariables",8
"InteractingBinaries","TransitingPlanets",4
"InteractingBinaries","Blazars",3
"Galactic","InteractingBinaries",8
"Galactic","Galactic",0
"Galactic","Supernovae",1
"Galactic","Cosmological",0
"Galactic","MultiwavelengthCharacterization/Counterparts",5
"Galactic","TidalDisruptionEvents",1
"Galactic","Non-degenerateEruptiveVariables",4
"Galactic","FastTransients",6
"Galactic","Microlensing",4
"Galactic","GravitationalWaves",4
"Galactic","Classification/Characterization",11
"Galactic","MagneticallyActiveStars",3
"Galactic","DistanceScales",3
"Galactic","PulsatingVariables",4
"Galactic","TransitingPlanets",6
"Galactic","Blazars",0
"Supernovae","InteractingBinaries",6
"Supernovae","Galactic",1
"Supernovae","Supernovae",0
"Supernovae","Cosmological",12
"Supernovae","MultiwavelengthCharacterization/Counterparts",12
"Supernovae","TidalDisruptionEvents",10
"Supernovae","Non-degenerateEruptiveVariables",4
"Supernovae","FastTransients",21
"Supernovae","Microlensing",4
"Supernovae","GravitationalWaves",14
"Supernovae","Classification/Characterization",16
"Supernovae","MagneticallyActiveStars",0
"Supernovae","DistanceScales",3
"Supernovae","PulsatingVariables",3
"Supernovae","TransitingPlanets",1
"Supernovae","Blazars",0
"Cosmological","InteractingBinaries",0
"Cosmological","Galactic",0
"Cosmological","Supernovae",12
"Cosmological","Cosmological",0
"Cosmological","MultiwavelengthCharacterization/Counterparts",8
"Cosmological","TidalDisruptionEvents",2
"Cosmological","Non-degenerateEruptiveVariables",0
"Cosmological","FastTransients",8
"Cosmological","Microlensing",3
"Cosmological","GravitationalWaves",7
"Cosmological","Classification/Characterization",7
"Cosmological","MagneticallyActiveStars",0
"Cosmological","DistanceScales",4
"Cosmological","PulsatingVariables",0
"Cosmological","TransitingPlanets",0
"Cosmological","Blazars",0
"MultiwavelengthCharacterization/Counterparts","InteractingBinaries",8
"MultiwavelengthCharacterization/Counterparts","Galactic",5
"MultiwavelengthCharacterization/Counterparts","Supernovae",12
"MultiwavelengthCharacterization/Counterparts","Cosmological",8
"MultiwavelengthCharacterization/Counterparts","MultiwavelengthCharacterization/Counterparts",0
"MultiwavelengthCharacterization/Counterparts","TidalDisruptionEvents",10
"MultiwavelengthCharacterization/Counterparts","Non-degenerateEruptiveVariables",2
"MultiwavelengthCharacterization/Counterparts","FastTransients",15
"MultiwavelengthCharacterization/Counterparts","Microlensing",2
"MultiwavelengthCharacterization/Counterparts","GravitationalWaves",12
"MultiwavelengthCharacterization/Counterparts","Classification/Characterization",16
"MultiwavelengthCharacterization/Counterparts","MagneticallyActiveStars",2
"MultiwavelengthCharacterization/Counterparts","DistanceScales",1
"MultiwavelengthCharacterization/Counterparts","PulsatingVariables",1
"MultiwavelengthCharacterization/Counterparts","TransitingPlanets",5
"MultiwavelengthCharacterization/Counterparts","Blazars",5
"TidalDisruptionEvents","InteractingBinaries",1
"TidalDisruptionEvents","Galactic",1
"TidalDisruptionEvents","Supernovae",10
"TidalDisruptionEvents","Cosmological",2
"TidalDisruptionEvents","MultiwavelengthCharacterization/Counterparts",10
"TidalDisruptionEvents","TidalDisruptionEvents",0
"TidalDisruptionEvents","Non-degenerateEruptiveVariables",1
"TidalDisruptionEvents","FastTransients",6
"TidalDisruptionEvents","Microlensing",0
"TidalDisruptionEvents","GravitationalWaves",4
"TidalDisruptionEvents","Classification/Characterization",4
"TidalDisruptionEvents","MagneticallyActiveStars",0
"TidalDisruptionEvents","DistanceScales",0
"TidalDisruptionEvents","PulsatingVariables",1
"TidalDisruptionEvents","TransitingPlanets",0
"TidalDisruptionEvents","Blazars",2
"Non-degenerateEruptiveVariables","InteractingBinaries",4
"Non-degenerateEruptiveVariables","Galactic",4
"Non-degenerateEruptiveVariables","Supernovae",4
"Non-degenerateEruptiveVariables","Cosmological",0
"Non-degenerateEruptiveVariables","MultiwavelengthCharacterization/Counterparts",2
"Non-degenerateEruptiveVariables","TidalDisruptionEvents",1
"Non-degenerateEruptiveVariables","Non-degenerateEruptiveVariables",0
"Non-degenerateEruptiveVariables","FastTransients",5
"Non-degenerateEruptiveVariables","Microlensing",2
"Non-degenerateEruptiveVariables","GravitationalWaves",1
"Non-degenerateEruptiveVariables","Classification/Characterization",4
"Non-degenerateEruptiveVariables","MagneticallyActiveStars",0
"Non-degenerateEruptiveVariables","DistanceScales",2
"Non-degenerateEruptiveVariables","PulsatingVariables",4
"Non-degenerateEruptiveVariables","TransitingPlanets",1
"Non-degenerateEruptiveVariables","Blazars",0
"FastTransients","InteractingBinaries",10
"FastTransients","Galactic",6
"FastTransients","Supernovae",21
"FastTransients","Cosmological",8
"FastTransients","MultiwavelengthCharacterization/Counterparts",15
"FastTransients","TidalDisruptionEvents",6
"FastTransients","Non-degenerateEruptiveVariables",5
"FastTransients","FastTransients",0
"FastTransients","Microlensing",4
"FastTransients","GravitationalWaves",14
"FastTransients","Classification/Characterization",17
"FastTransients","MagneticallyActiveStars",0
"FastTransients","DistanceScales",2
"FastTransients","PulsatingVariables",2
"FastTransients","TransitingPlanets",2
"FastTransients","Blazars",1
"Microlensing","InteractingBinaries",0
"Microlensing","Galactic",4
"Microlensing","Supernovae",4
"Microlensing","Cosmological",3
"Microlensing","MultiwavelengthCharacterization/Counterparts",2
"Microlensing","TidalDisruptionEvents",0
